?cls	?xref
<http://purl.obolibrary.org/obo/AISM_0004289>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000023"
<http://purl.obolibrary.org/obo/AISM_0004305>	"http://purl.obolibrary.org/obo/HAO_0001098"
<http://purl.obolibrary.org/obo/BSPO_0000084>	"FBql:00005843"
<http://purl.obolibrary.org/obo/AISM_0004291>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000025"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"HAO:0000217"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"TGMA:0000024"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"FBbt:00004508"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"BTO:0001921"
<http://purl.obolibrary.org/obo/UBERON_0000018>	<http://en.wikipedia.org/wiki/Compound_eye>
<http://purl.obolibrary.org/obo/UBERON_0000018>	"Wikipedia:Compound_eye"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://purl.obolibrary.org/obo/UBERON_6004475"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://purl.obolibrary.org/obo/HAO_0000909"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00004475"
<http://purl.obolibrary.org/obo/BSPO_0000070>	"FBql:00005841"
<http://purl.obolibrary.org/obo/BSPO_0000062>	"FBql:00005853"
<http://purl.obolibrary.org/obo/BSPO_0000062>	"FBcv:0000058"
<http://purl.obolibrary.org/obo/AISM_0004296>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000030"
<http://purl.obolibrary.org/obo/AISM_0000137>	"http://purl.obolibrary.org/obo/UBERON_0001054"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"MIAA:0000150"
<http://purl.obolibrary.org/obo/UBERON_0001001>	<http://en.wikipedia.org/wiki/Arthropod_exoskeleton>
<http://purl.obolibrary.org/obo/UBERON_0001001>	"EFO:0000944"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"FBbt:00004970"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"MAT:0000150"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"HAO:0000240"
<http://purl.obolibrary.org/obo/AISM_0004294>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000028"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"UMLS:C0935626"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"AEO:0000094"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://www.snomedbrowser.com/Codes/Details/244485009>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BSA:0000121"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA:500"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"VHOG:0001407"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BTO:0000202"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"NCIT:C33224"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EMAPA:35955"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"CALOHA:TS-2043"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"MESH:D012679"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"GAID:63"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://linkedlifedata.com/resource/umls/id/C0935626>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA2:0001824"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"WBbt:0006929"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"FBbt:00005155"
